cluster,total length [bp],number of reads,Genome proportion[%],cumulative GP [%],Repeat Masker,Domain hits,Layout,All missing mates [%],Missing mates,Portion of similarity hits to other clusters[%],Outside reads with similarity [%],
49,CL49,1349216,18075,0.292,22.8,"LTR.Gypsy (7482hits, 35.8%)",Ty3-RT Ty3/gypsy Ogre/Tat (6772 hits 37.5%),,21.2,6.54,3.10E-01,2.373
,,,,,,,Ty3-RH Ty3/gypsy Ogre/Tat (119 hits 0.658%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (15hits, 0.063%)",,,,,,
50,CL50,1322754,17667,0.285,23,"LTR.Copia (311hits, 1.41%)",,,45.9,3.92,1.80E+00,9.747
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (14hits, 0.0419%)",,,,,,
,,,,,,"Low_complexity (2hits, 0.0062%)",,,,,,
51,CL51,1317312,17587,0.284,23.3,"Simple_repeat (1305hits, 3.45%)",,,94.1,14.85,1.80E+00,18.53
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Satellite (27hits, 0.088%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (18hits, 0.0627%)",,,,,,
,,,,,,"Low_complexity (2hits, 0.00577%)",,,,,,
,,,,,,"DNA.hAT.Ac (2hits, 0.00509%)",,,,,,
52,CL52,1316504,17582,0.284,23.6,"Simple_repeat (212hits, 0.592%)",,,76.7,14.11,7.00E-01,7.223
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (60hits, 0.2%)",,,,,,
,,,,,,"LTR.Gypsy (7hits, 0.0205%)",,,,,,
,,,,,,"LTR.Copia (7hits, 0.0188%)",,,,,,
,,,,,,"LINE.L1 (1hits, 0.00517%)",,,,,,
53,CL53,1303938,17447,0.282,23.9,"LTR.Gypsy (532hits, 2.02%)",Ty3-INT Ty3/gypsy Ogre/Tat (1878 hits 10.8%),,32.4,2.72,3.60E-01,3.886
,,,,,,,Ty3-INT Ty3/gypsy Athila (1 hits 0.00573%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (7hits, 0.029%)",,,,,,
54,CL54,1281997,17157,0.277,24.2,"Simple_repeat (23hits, 0.069%)",,,37.7,8.52,9.00E-01,4.22
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (3hits, 0.00983%)",,,,,,
,,,,,,"LTR.Gypsy (2hits, 0.00577%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00242%)",,,,,,
55,CL55,1281375,17143,0.277,24.4,"Simple_repeat (180hits, 0.414%)",,,30.9,8.13,1.30E-01,0.7233
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (74hits, 0.236%)",,,,,,
,,,,,,"LINE.L1 (2hits, 0.0101%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00578%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00226%)",,,,,,
56,CL56,1256770,16850,0.272,24.7,"LTR.Gypsy (1360hits, 6.39%)",Ty3-GAG Ty3/gypsy chromovirus (155 hits 0.92%),,20.3,8.83,4.20E-01,3.264
,,,,,,,Ty3-PROT Ty3/gypsy chromovirus (2 hits 0.0119%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (30hits, 0.111%)",,,,,,
,,,,,,"Simple_repeat (9hits, 0.0302%)",,,,,,
57,CL57,1260133,16840,0.272,25,"LTR.Copia (9462hits, 51.7%)",Ty1-INT Ty1/copia TAR (2674 hits 15.9%),,28.1,12.25,5.20E-01,2.363
,,,,,,,Ty1-RT Ty1/copia TAR (491 hits 2.92%),,,,,
,,,,,,,Ty1-RT Ty1/copia AleII (403 hits 2.39%),,,,,
,,,,,,,Ty1-INT Ty1/copia Ivana/Oryco (255 hits 1.51%),,,,,
,,,,,,,Ty1-PROT Ty1/copia TAR (122 hits 0.......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (58hits, 0.18%)",,,,,,
,,,,,,"Low_complexity (10hits, 0.0325%)",,,,,,
58,CL58,1224560,16393,0.265,25.3,"Simple_repeat (143hits, 0.461%)",,,44.5,10.15,1.70E-01,1.183
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (87hits, 0.302%)",,,,,,
,,,,,,"LTR.Copia (5hits, 0.0175%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00555%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.00245%)",,,,,,
59,CL59,1218737,16347,0.264,25.5,"Simple_repeat (19hits, 0.0824%)",Ty3-GAG Ty3/gypsy Ogre/Tat (195 hits 1.19%),,17.8,8.53,2.40E-02,0.1774
,,,,,,,Ty3-GAG Ty3/gypsy Athila (147 hits 0.899%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (14hits, 0.0618%)",,,,,,
,,,,,,"LTR.Gypsy (13hits, 0.0505%)",,,,,,
,,,,,,"LTR.Copia (4hits, 0.0171%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.00484%)",,,,,,
60,CL60,1218042,16289,0.263,25.8,"Simple_repeat (397hits, 1.49%)",,,32.8,6.4,2.60E-02,1.713
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (211hits, 0.789%)",,,,,,
,,,,,,"LTR.Copia (9hits, 0.0336%)",,,,,,
61,CL61,1210567,16203,0.262,26,"LTR.Gypsy (5142hits, 27.9%)",Ty3-INT Ty3/gypsy chromovirus (3254 hits 20.1%),,42,4.75,1.00E+00,8.14
,,,,,,,Ty3-CHDII Ty3/gypsy chromovirus (959 hits 5.92%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (1550hits, 4.81%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (45hits, 0.155%)",,,,,,
,,,,,,"Satellite (33hits, 0.106%)",,,,,,
,,,,,,"Low_complexity (2hits, 0.00454%)",,,,,,
,,,,,,"LINE.L1 (1hits, 0.00322%)",,,,,,
,,,,,,"<="""" td="""">",,,,,,
62,CL62,1210395,16197,0.262,26.3,"LTR.Gypsy (81hits, 0.28%)",,,77.2,1.14,2.50E+00,21.2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LINE.L1 (2hits, 0.00975%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.0033%)",,,,,,
63,CL63,1192490,15930,0.257,26.6,"LTR.Copia (2391hits, 10.5%)",,,86.3,2.3,2.10E+00,18.5
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (4hits, 0.0121%)",,,,,,
,,,,,,"LTR.Gypsy (2hits, 0.00503%)",,,,,,
64,CL64,1192368,15926,0.257,26.8,"LTR.Copia (349hits, 1.32%)",,,45.6,8.95,8.20E-01,6.957
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (344hits, 0.961%)",,,,,,
,,,,,,"Low_complexity (33hits, 0.0907%)",,,,,,
65,CL65,1188927,15904,0.257,27.1,"LTR.Copia (11244hits, 64.7%)",Ty1-RH Ty1/copia TAR (2203 hits 13.9%),,31.2,8.27,8.90E-01,2.811
,,,,,,,Ty1-RT Ty1/copia TAR (559 hits 3.51%),,,,,
,,,,,,,Ty1-RH Ty1/copia Maximus/SIRE (253 hits 1.59%),,,,,
,,,,,,,Ty1-RH Ty1/copia Ivana/Oryco (236 hits 1.48%),,,,,
,,,,,,,Ty1-RH Ty1/copia Tork (128 hit......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.hAT.Ac (1hits, 0.00311%)",,,,,,
66,CL66,1186494,15868,0.256,27.3,"Simple_repeat (73hits, 0.212%)",,,23,5.86,2.00E-01,1.582
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (30hits, 0.0987%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.0027%)",,,,,,
67,CL67,1151151,15385,0.248,27.6,"Simple_repeat (107hits, 0.301%)",,,57.8,6.04,1.60E+00,11.34
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (20hits, 0.0598%)",,,,,,
,,,,,,"LTR.Copia (4hits, 0.0199%)",,,,,,
68,CL68,1141191,15244,0.246,27.8,"LTR.Gypsy (1hits, 0.00307%)",,,85.4,1.65,3.90E+00,27.93
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (1hits, 0.00289%)",,,,,,
69,CL69,1130246,15158,0.245,28.1,"LTR.Gypsy (4hits, 0.0175%)",Ty3-GAG Ty3/gypsy Ogre/Tat (830 hits 5.48%),,19.4,9.35,4.50E-02,0.2441
,,,,,,,Ty3-GAG Ty3/gypsy Athila (16 hits 0.106%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (4hits, 0.00664%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00434%)",,,,,,
70,CL70,1128315,15105,0.244,28.3,"LTR.Copia (6347hits, 37.5%)",Ty1-RT Ty1/copia Angela (1985 hits 13.1%),,27.5,4.19,6.60E-01,4.197
,,,,,,,Ty1-INT Ty1/copia Angela (1144 hits 7.57%),,,,,
,,,,,,,Ty1-RT Ty1/copia AleII (740 hits 4.9%),,,,,
,,,,,,,Ty1-INT Ty1/copia Tork (223 hits 1.48%),,,,,
,,,,,,,Ty1-RT Ty1/copia Tork (98 hits 0.649......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LINE.L1 (1hits, 0.00363%)",,,,,,
71,CL71,1122516,14996,0.242,28.6,"Simple_repeat (2053hits, 8.19%)",,,48.7,10.39,3.60E-01,3.241
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (244hits, 1.14%)",,,,,,
72,CL72,1118658,14965,0.242,28.8,"Simple_repeat (9hits, 0.0313%)",,,76.1,14.34,2.70E+00,12.54
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.hAT.Ac (3hits, 0.0102%)",,,,,,
,,,,,,"Low_complexity (2hits, 0.00715%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00429%)",,,,,,
,,,,,,"LINE.L1 (1hits, 0.00375%)",,,,,,
73,CL73,1114274,14900,0.241,29,"Simple_repeat (2649hits, 10.6%)",,,65.5,10.03,4.00E-01,10.83
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (189hits, 0.706%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00449%)",,,,,,
74,CL74,1107054,14819,0.239,29.3,"Simple_repeat (234hits, 0.792%)",,,31.8,7.72,1.30E-01,0.6208
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (166hits, 0.59%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00461%)",,,,,,
75,CL75,1085493,14491,0.234,29.5,"Simple_repeat (2230hits, 9.09%)",,,78.7,4.27,2.70E+00,11.59
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (394hits, 1.94%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00368%)",,,,,,
76,CL76,1082605,14473,0.234,29.8,"LTR.Gypsy (3hits, 0.0121%)",,,85.8,1,4.70E+00,20.85
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (1hits, 0.00397%)",,,,,,
77,CL77,1073372,14362,0.232,30,"Low_complexity (1hits, 0.00531%)",,,74.5,14.84,8.80E-01,12.94
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (1hits, 0.00354%)",,,,,,
78,CL78,1064261,14279,0.231,30.2,"LTR.Gypsy (76hits, 0.378%)",Ty3-PROT Ty3/gypsy Ogre/Tat (736 hits 5.15%),,24,5.86,3.00E-01,1.681
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00489%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00404%)",,,,,,
,,,,,,"LINE.L1 (1hits, 0.00385%)",,,,,,
79,CL79,1063025,14245,0.23,30.4,"Simple_repeat (17hits, 0.0436%)",,,51,14.41,4.60E-01,2.078
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (3hits, 0.00865%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00376%)",,,,,,
80,CL80,1053504,14098,0.228,30.7,"Simple_repeat (595hits, 1.99%)",,,31.4,5.97,1.30E-01,0.759
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (306hits, 1.23%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00484%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.0038%)",,,,,,
81,CL81,1048170,14030,0.227,30.9,"Simple_repeat (525hits, 1.58%)",,,59,7.82,1.10E+00,4.048
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (203hits, 0.719%)",,,,,,
,,,,,,"LTR.Gypsy (98hits, 0.274%)",,,,,,
,,,,,,"DNA.TcMar.Stowaway (13hits, 0.0497%)",,,,,,
82,CL82,1039270,13939,0.225,31.1,"LTR.Gypsy (1630hits, 10%)",Ty3-RT Ty3/gypsy Ogre/Tat (1633 hits 11.7%),,24.3,7.77,3.40E-01,1.535
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Ty3-PROT Ty3/gypsy Ogre/Tat (69 hits 0.495%),,,,,
,,,,,,,Ty3-RT Ty3/gypsy chromovirus (1 hits 0.00717%),,,,,
83,CL83,1038840,13913,0.225,31.3,"Simple_repeat (13hits, 0.0475%)",,,29,8.19,8.00E-02,0.5391
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (2hits, 0.00626%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00568%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00327%)",,,,,,
84,CL84,1036277,13863,0.224,31.6,"LTR.Copia (7233hits, 45.9%)",Ty1-RH Ty1/copia Angela (3911 hits 28.2%),,29.1,3.74,2.00E+00,5.049
,,,,,,,Ty1-RH Ty1/copia Ivana/Oryco (441 hits 3.18%),,,,,
,,,,,,,Ty1-RH Ty1/copia TAR (349 hits 2.52%),,,,,
,,,,,,,Ty1-RH Ty1/copia Tork (147 hits 1.06%),,,,,
,,,,,,,Ty1-RT Ty1/copia Angela (11 hits 0.......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00608%)",,,,,,
,,,,,,"Simple_repeat (1hits, 0.00154%)",,,,,,
85,CL85,1026216,13767,0.222,31.8,"LTR.Gypsy (3hits, 0.0147%)",Ty3-GAG Ty3/gypsy Ogre/Tat (181 hits 1.31%),,27.7,15.2,3.10E-02,0.1671
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00536%)",,,,,,
,,,,,,"Simple_repeat (1hits, 0.00409%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00351%)",,,,,,
,,,,,,"LTR.Caulimovirus (1hits, 0.00263%)",,,,,,
86,CL86,1015945,13588,0.219,32,"LTR.Gypsy (9555hits, 64.9%)",Ty3-RT Ty3/gypsy Athila (3144 hits 23.1%),,19.3,6.53,6.00E-02,0.287
,,,,,,,Ty3-INT Ty3/gypsy Athila (2828 hits 20.8%),,,,,
,,,,,,,Ty3-RH Ty3/gypsy Athila (1641 hits 12.1%),,,,,
,,,,,,,Ty3-RT Ty3/gypsy Ogre/Tat (7 hits 0.0515%),,,,,
,,,,,,,Ty1-INT Ty1/copia Tork (2 hits 0.0147%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (16hits, 0.051%)",,,,,,
,,,,,,"Low_complexity (8hits, 0.0314%)",,,,,,
,,,,,,"LTR.Copia. (1hits, 0.00669%)",,,,,,
,,,,,,"LTR.Caulimovirus (1hits, 0.0065%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.00541%)",,,,,,
87,CL87,1013923,13564,0.219,32.2,"Simple_repeat (31hits, 0.127%)",Ty3-GAG Ty3/gypsy chromovirus (1 hits 0.00737%),,25.1,10.12,1.80E-01,0.7667
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (7hits, 0.0233%)",,,,,,
,,,,,,"LTR.Gypsy (3hits, 0.014%)",,,,,,
,,,,,,"LTR.Copia (2hits, 0.00957%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00582%)",,,,,,
88,CL88,977565,13110,0.212,32.4,"Simple_repeat (4hits, 0.0157%)",DHH-CD1 NA NA (1 hits 0.00763%),,38.8,5.96,6.50E-01,4.333
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (1hits, 0.0046%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00389%)",,,,,,
89,CL89,973517,13028,0.21,32.7,"LTR.Gypsy (11028hits, 79.1%)",Ty3-RT Ty3/gypsy chromovirus (7982 hits 61.3%),,35.2,6.08,1.40E+00,14.75
90,CL90,962874,12880,0.208,32.9,"LTR.Gypsy (227hits, 1.26%)",,,47.5,10.32,1.40E-01,2.64
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (48hits, 0.23%)",,,,,,
,,,,,,"Simple_repeat (6hits, 0.0124%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00447%)",,,,,,
91,CL91,957503,12800,0.207,33.1,"Simple_repeat (882hits, 2.68%)",,,23,5.39,1.40E-02,0.5781
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (72hits, 0.289%)",,,,,,
,,,,,,"LINE.L1 (1hits, 0.0071%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00512%)",,,,,,
92,CL92,956643,12773,0.206,33.3,"Simple_repeat (171hits, 0.691%)",Ty1-RT Ty1/copia Angela (56 hits 0.438%),,13.6,5.03,8.20E-02,0.6811
,,,,,,,Ty1-RT Ty1/copia AleII (5 hits 0.0391%),,,,,
,,,,,,,Ty1-RT Ty1/copia Tork (3 hits 0.0235%),,,,,
,,,,,,,Ty1-RT Ty1/copia Ivana/Oryco (1 hits 0.00783%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (86hits, 0.467%)",,,,,,
,,,,,,"Low_complexity (55hits, 0.228%)",,,,,,
,,,,,,"DNA.hAT.Ac (1hits, 0.00564%)",,,,,,
93,CL93,951063,12714,0.205,33.5,"LTR.Copia (11258hits, 84.2%)",Ty1-RT Ty1/copia TAR (6097 hits 48%),,33.8,6.77,1.40E+00,4.247
,,,,,,,Ty1-RT Ty1/copia AleII (1263 hits 9.93%),,,,,
,,,,,,,Ty1-RT Ty1/copia Angela (628 hits 4.94%),,,,,
,,,,,,,Ty1-RT Ty1/copia Ivana/Oryco (495 hits 3.89%),,,,,
,,,,,,,Ty1-RT Ty1/copia AleI/Retrofit (130......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (8hits, 0.0306%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00368%)",,,,,,
94,CL94,948028,12664,0.205,33.7,"LTR.Copia (652hits, 4.5%)",,,19.8,8.59,3.70E-02,0.6001
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (906hits, 4.01%)",,,,,,
,,,,,,"Low_complexity (106hits, 0.466%)",,,,,,
,,,,,,"LINE.L1 (1hits, 0.00549%)",,,,,,
95,CL95,942596,12627,0.204,33.9,"LTR.Gypsy (1791hits, 10.2%)",Ty3-RH Ty3/gypsy Ogre/Tat (2891 hits 22.9%),,31.7,5.02,5.60E-01,3.184
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,LINE-RH NA NA (1 hits 0.00792%),,,,,
96,CL96,941450,12579,0.203,34.1,"Simple_repeat (354hits, 1.6%)",,,30.6,8.95,3.80E-02,0.4293
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (71hits, 0.328%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (5hits, 0.0287%)",,,,,,
,,,,,,"DNA.MULE.MuDR (2hits, 0.013%)",,,,,,
97,CL97,939349,12570,0.203,34.3,"DNA.MULE.MuDR (441hits, 2.84%)",DTM-CD1 NA NA (3061 hits 24.4%),,14.5,5.65,1.60E-02,0.1193
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (42hits, 0.172%)",,,,,,
,,,,,,"Low_complexity (25hits, 0.12%)",,,,,,
98,CL98,938405,12560,0.203,34.5,"LTR.Gypsy (31hits, 0.179%)",Ty3-GAG Ty3/gypsy chromovirus (228 hits 1.82%),,25.9,7.19,2.30E-01,1.513
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (23hits, 0.104%)",,,,,,
99,CL99,918883,12300,0.199,34.7,"Simple_repeat (1hits, 0.0037%)",,,1.3,0.56,0.00E+00,0
100,CL100,921207,12297,0.199,34.9,"Simple_repeat (21hits, 0.0791%)",,,95.1,4.7,5.40E+00,21.02
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (7hits, 0.0236%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00586%)",,,,,,
101,CL101,915220,12256,0.198,35.1,"LTR.Gypsy (3052hits, 20.3%)",Ty3-RT Ty3/gypsy Ogre/Tat (1377 hits 11.2%),,17.2,4.81,4.70E-01,3.28
,,,,,,,Ty3-INT Ty3/gypsy Ogre/Tat (1260 hits 10.3%),,,,,
,,,,,,,Ty3-RH Ty3/gypsy Ogre/Tat (362 hits 2.95%),,,,,
,,,,,,,Ty1-INT Ty1/copia Maximus/SIRE (36 hits 0.294%),,,,,
,,,,,,,Ty3-INT Ty3/gypsy ch......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (8hits, 0.0347%)",,,,,,
,,,,,,"DNA.hAT.Tag1 (1hits, 0.00535%)",,,,,,
102,CL102,915828,12242,0.198,35.3,"Simple_repeat (348hits, 1.49%)",,,35,3.66,3.50E-01,1.977
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (46hits, 0.257%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00491%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00328%)",,,,,,
103,CL103,907916,12189,0.197,35.5,"LTR.Gypsy (5hits, 0.0292%)",Ty3-GAG Ty3/gypsy Ogre/Tat (119 hits 0.976%),,22.9,10.67,2.90E-02,0.2953
,,,,,,,Ty3-GAG Ty3/gypsy Athila (10 hits 0.082%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (2hits, 0.00749%)",,,,,,
,,,,,,"DNA.hAT.Tip100 (1hits, 0.00441%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00374%)",,,,,,
